advertiser,business,address,city,state,zip,phone,website,email,contact,ages,hours,meals,staff_ratio,other,description
,Hooper Childcare/Early Learning Center,360 Fisher Road,Hope Hull,AL,36043,(334) 288-2770,https://hooperacademy.org,,"Salina Guest, Director",6 wks. - 4 years,6:45 a.m. -5:45 p.m.,Hot,Better than DHR standards,Multiple child discount. Annual Registration. After School Program offered for up to 14 years. Call for rates.,Curriculum: A Beka.
,Cobblestone Learning Center,66 Penser Blvd.,Millbrook,AL,36054,(334) 285-8517,https://cobblestonelearning.com,cobblestonelearning@gmail.com,"Sharon Clark, Director",6 wks. - 5 yrs.,6:30 a.m.-5:45 p.m.,Hot,Better than DHR standards,Multiple child discounts.,Curriculum: Teacher Led
,Cousin Jane's Preschool,3080 Main Street,Millbrook,AL,,(334) 285-2476,,,"Jennifer Cousins & Jane Aplin, Director",6 wks. - 12 yrs.,6:30 a.m. -6 p.m.,Hot,Better than DHR standards,Multiple child discounts. Special summer program.,Curriculum: Abeka
a,Macon East,15396 Vaughn Rd.,Pike Road,AL,36013,(334) 277-6566,https://maconeast.net,info@maconeast.net,"Glynn Lot, Headmaster","3, 4, and 5 years",7:45 a.m. - 2:40 p.m.,Hot,Better than DHR standards,"Extended day care and early arrival, Summer Enrichment Program. Multiple child discount. Call for monthly fees.","Curriculum: High Reach/Reading & Math for 3 & 4 year, McGraw Hill Reading & Math for Kindergarten."
a,AIM Academy,530 Antioch Ln,Pike Road,AL,36064,(334) 509-4225,https://youraimacademy.com,hpiros@youraimacademy.com,"Hailey Piros, Director",6 wks. of age to Pre-K,7 a.m.-6 p.m.,Hot,Better than DHR standards,"Afterschool program and summer camp for ages 5 to 12. Class is led by a Birth to Kindergarten state certified teacher. Student progress is continuously assessed and evaluated on specific developmental milestones and objectives. Through observations and interactions, the assessment outcomes are utilized to further tailor or scaffold our daily lesson plans and activities for each child.",Curriculum: Play-based curriculum
,Journey Preschool,435 Sheila Blvd.,Prattville,AL,36066,(334) 568-1259,https://myjourneychurch.com,preschool.journeychurch@gmail.com,"Alex Daniels, Director",6 wks. - 4 yrs.,7 a.m. - 6 p.m.,Hot,DHR Standards,After School Care and Summer Program offered. Multiple Child Discount. Annual Registration fee. Please call for rates.,Religious Affiliation: Christian/Non-Denominational
,KinderCare Learning Center,701 Sheila Blvd.,Prattville,AL,,(334) 365-0470,https://kindercare.com,chardy@klcorp.com,"Charlotte Hardy, Director",6 wks. - 12 yrs.,6:30 a.m. - 5:45 p.m.,Hot,DHR Standards,Before and After school care offered. Annual Registration fee.,Curriculum: Pre-School at KinderCare and Welcome to Learning
a,First Presbyterian Church Kindergarten,211 S. Chestnut St.,Prattville,AL,36067,(334) 491-3411,https://fpkprattville.com,firstpreskindergarten@gmail.com,"Julie Cavnar, Director",K3-K5,8 a.m.- Noon,Children bring snacks and lunch.,Better than DHR standards,Early drop-off and after school care program offered Monday-Friday until 5:30. Multiple Child Discount. Annual Registration fee. Please call for rates.,Curriculum: Modified Abeka.
,First Baptist Church Preschool & Kindergarten,138 S. Washington St.,Prattville,AL,,(334) 361-9481,https://fbcprattville.org/kindergarten,heather@fbcprattville.org,"Heather Jolley, Director",3K-Kindergarten,8:15 a.m. - 12 p.m.,Brown Bag,DHR Standards,"Before school care begins 7:15 a.m., extended program offered for after hours until 2:30 p.m. Monday-Thursday. FBC offers Mother's Morning Out Program.","Curriculum: Kindergarten; Scott Foresman Language Arts Curriculum, Harcourt Math, The Wright Skills Phonics Program. 3's-4's use Frog Street Press."
,PCC Impact,266 W. 5th Street,Prattville,AL,,(334) 491-0308,https://pccimpactkidspreschool.com,pccimpactkidspreschool@gmail.com,"Cherish Callaway, Director",2-5 yrs.,7 a.m. - 6 p.m.,Morning snack and brown bag.,Better than DHR standards,"After School program for Prattville school, Summer program, Sibling discount",Curriculum: Teacher Led
