advertiser,category,business,address,city,zip,phone,website,email,leadership,grade,mission,extracurricula,description,other
a,Independent,AIM Academy,530 Antioch Lane,Pike Road,36064,(334) 509-4225,https://youraimacademy.com,,"Hailey Morrow, Director",6 weeks of age to Pre-K and afterschool program and summer camp for ages 5 to 12.,,Dance and Gymnastics,,"Accreditation: Highly rated by the Alabama Department of Early Childhood Education, licensed by Alabama Department of Human Resources Curriculum: Creative Curriculum. The standards are integrated into each activity with an intentional focus on physical development, social-emotional skills, early mathematics, language, and literacy and STEAM (Science, Technology, Engineering, Arts and Mathematics). Pre-K: Class is led by a Birth to Kindergarten state certified teacher. Student progress is continuously assessed and evaluated on specific developmental milestones and objectives. Through observations and interactions, the assessment outcomes are utilized to further tailor or scaffold our daily lesson plans and activities for each child. AIM Academy Pre-K students build confidence, thrive as independent learners, and enter kindergarten well prepared for success."
a,Independent,Macon-East Academy,15396 Vaughn Road,Cecil,36013,(334) 277-6566,https://www.maconeast.net,,Headmaster: Glynn Lott,K3 – 12th,,"Athletics: Macon East Academy offers an outstanding athletic program for student-athletes, providing opportunities across a variety of sports, including baseball, basketball, cheerleading, football, softball, and volleyball. We proudly stand as the only school in the area that allows student athletes to participate in both cheer and volleyball at the same time. Our elementary students are active in the HOOPS league for basketball, covering grades 2 - 6. Flag football is available for grades 1 – 3 and Pee Wee Football is for grades 4 – 6. Our elementary cheer program serves students from K3 - 6th grade. Macon East has won numerous regional and state championships, and many of our student athletes have gone on to compete at the collegiate level. Clubs: Student Government Association, National Honor Society and National Junior Honor Society, Mu Alpha Theta Mathematics Honor Society, International Thespian Honor Society, Fellowship of Christian Students, Drama Club, Chess Club, Camelot Club, Photography Club, and Yearbook. Lower school students participate in Knights for Christ bible study after school biweekly and Green Teams.","Founded: 1995 Religious Affiliation: Christian-based, non-denominational. Music classes offered at the lower school level. Academic competitions include AISA Science Innovation Expo, AISA Visual Arts Competition, AISA math competition, AISA Performing Arts Competition and AISA Scholars' Bowl. Honors and Advanced Placement Classes: Biology, English, Art Technology: All Macon East students in Kindergarten through 12th grade are issued an Apple iPad for use during the school year. There are two computer labs on campus. Computer classes are taught at both the lower and upper school level. College Prep: The Macon East Academy curriculum stresses ACT preparation and college and career readiness. Dual enrollment classes are available at Macon East Academy through any college that offers partnerships to take allowed courses. ACT Prep is offered as an elective junior & senior year. Our college counselor provides year-round guidance and support for students and their families as they go through the college selection and application process.","Accreditation: Cognia/Southern Association of Colleges and Schools (SACS), Alabama Independent School Association (AISA), and the Southern Association of Colleges and Schools Teacher-student ratio: Preschool: 12; K-6th: 20; grades 7-12: 24 Tuition: Please call for rates. Uniforms are required for K5 – 12 graders Extended Daycare: Available for students enrolled in K3-6th grade, after-school care is held on campus and operated by Macon East Academy. Tutoring is also available for students during extended care. Mother's Day Out Program: 3- or 4-day option for 3- and 4-year-olds. Open House: Sunday, February 1 from 2-4 p.m. and Monday, February 2 at 4-6 p.m. You will have the unique opportunity to get to experience Macon East Academy in a personal and welcoming environment. Teachers, staff, and students will be on hand to answer any questions you may have. If you're wondering if Macon East is the right fit for your family, this is the ideal time to discover more."
a,Independent,River Region Academy,4240 Lomac Street,Montgomery,36106,(334) 262-0191,https://www.riverregionacademy.com,kris.white@riverregionacademy.com,Principal: Kris White,K-12; seniors have formal graduation ceremony,"The mission for River Region Academy is to provide a safe, personal, quality education where all students are engaged, encouraged, and empowered in learning and inspired to achieve their fullest potential. Our vision is for every student to become a critical and creative thinker, lifelong learner, and productive citizen.","Partnerships with homeschool organizations to provide support services (sports, clubs, enrichment, etc.)",,"Additional Info: River Region Academy is accredited by Cognia, formerly known as AdvancEd /SACS. By offering a low student-to-teacher ratio, 8:1, we can meet the educational needs of each student. We offer: Half Day Schedule: Grades K-5 (8:00-12:30) and Grades 6-12 (8:00-12:15). No school on Fridays after Christmas. We accept Alabama Accountability Act scholarships - SFK and AOSF, and the CHOOSE Act (education savings account plan). We have degreed teachers and offer a wide variety of on-campus and independent electives."
a,Independent,Saint James School,6010 Vaughn Road,Montgomery,36116,(334) 277.8033 Admisions Number: (334) 273-3021,https://admissions@stjmontgomery.org,admissions@stjmontgomery.org,Head of School: Dr. Larry McLemore Middle and High School Principal: Dr. Shelaine Taylor Elementary School Principal: Mrs. Andrea Harris,Pre-K2 through 12th,"Mission: Saint James is an independent, nonsectarian, college preparatory school with a student body broadly representative of college-bound students. We are committed to challenging and assisting students in realizing their individual potential and preparing them for lives of responsibility, service, and achievement. Educating the whole child has been the mission since 1955.","Sports: Trojan Athletics has 45 athletic teams, with 22 state and national championship, with eight 2024 graduates signed to play in college. Saint James produces three theater and eight grade-level productions each year and the award-winning band, choir, forensics, and visual arts students compete in state and national competitions annually. Saint James participates in four annual school-wide service projects, including school-wide Community Day. Educating the whole child has been our mission since 1955. Challenging academics, competitive athletics, and nationally recognized arts programs make Saint James School the most comprehensive education in the River Region.","Founded: 1955 College Preparatory Pre-K3 through 12th grade (including all-day and half-day Pre-K3 and Pre-K4 options). Advanced Placement, Honors, and advanced classes are offered in 27 areas, encompassing both middle and high school.","Other: Challenging academics, competitive athletics, and nationally recognized arts programs make Saint James School the most comprehensive education in the River Region. Graduates of STJ • have received more than $38.6 million in merit-based college scholarships over the past five years, including three students admitted to U.S. service academies. Saint James is proud to have two National Merit semifinalists in the class of 2026. Saint James graduates have been accepted to over 100 various colleges around the world and nine students were awarded the Global Seal of Bilteracy in 2025. Trojan Athletics has 45 athletic teams, with 22 state and national championship, with four 2025 graduates signed to play in college. Saint James produces three theater and eight grade-level productions each year and the award-winning band, choir, forensics, and visual arts students compete in state and national competitions annually. Saint James participates in four annual school-wide service projects, including school-wide Community Day. Educating the whole child has been our mission since 1955. Challenging academics, competitive athletics, and nationally recognized arts programs make Saint James School the most comprehensive education in the River Region. Saint James School is proud to support our military community and gratefully extends a 10% tuition discount to full-time, active U.S. service members. A multi-child discount is also available. Tuition (2025-2026): Complete tuition rates can be found online. Tuition (2024-2025): Complete tuition rates can be found online. • Pre-K2 $7,862 • Pre-K3 $11,092 • Pre-K4 $11,705 • K5 $13,206 • Grades 1-5 $17,356 • Grades 6-8 $18,503 • Grades 9-12 $19,123 Tuition Includes: Daily Lunch prepared in the Saint James Commons; Individually Assigned Technology Devices for All Students Grades 3 - 12 and Technology Fees for All Grades; All School Supplies for Pre-K2 through Eighth Grade*; Consumable Books for Pre-K2 through Eighth Grade; Day Field Trips for all grades; Fall School Pictures for all grades; Junior & Senior Class Fees; Most Middle School Textbooks; Parent Association (PA) Dues for each family; Student Admission to all Home Sporting Events; Iliad Yearbook for all students."
a,Independent,The Montgomery Academy,Upper School (Grades 6-12) 3240 Vaughn Road Lower School (Grades K-5) 1550 Perry Hill Road,Montgomery,36106,(334) 272-8210,https://www.montgomeryacademy.org,admissions@montgomeryacademy.org,Head of School: John McWilliams Director of Admissions: Rachael Gallagher,K - 12th,"Mission: The Montgomery Academy develops leaders committed to honor, scholarship, service and the pursuit of excellence.","Arts: Our Speech & Debate program is ranked in the top 1% in the nation and has won 18 state championships, more than any other public or private school in Alabama. Both Lower and Middle School Choruses have earned statewide accolades and have been invited to participate in festivals across the southeast. Our Upper School Chorus has earned superior ratings at district and state competitions. The black-box theater on the Vaughn Road campus is where students in grades 5-12 may participate in full-length productions during the year. Every student in grades K-4 participates in a performance each year. Student actors compete and are honored annually in the State Theater Festival. Our K-12 Visual Arts program submits pieces to exhibits across the River Region, the state and nationally, winning at every level. Athletics: Athletic teams at The Montgomery Academy have earned 82 state championships, more than any other public or private school in the River Region! Both our boys and girls athletic teams have achieved success. Eighty-three percent of Middle and Upper School students participate on one of our thirty-three athletic teams. Our students have also been honored over the years by receiving the Jimmy Hitchcock Memorial Award, the Jimmy Hitchcock Freshman Award, and Bryant-Jordan Scholar Athlete award. Several Academy student-athletes have gone on to participate at the collegiate level. Students in grades K-9 participate in physical education every day. Clubs: Students learn leadership skills both in and outside the classroom. Many participate in organizations like Student Council, Youth in Government, Mock Trial, Model UN, and various community service organizations. With numerous clubs offered in the Upper School, from cooking to coding, student government to STEM, there is something for every student's interest.","Curriculum: Our K-12 college preparatory curriculum seeks to educate the whole child by focusing not only on each child's academic development but also on their physical and social-emotional development. Beginning in ninth grade, our course offerings include twenty-three Advanced Placement sections offered in all core areas.","Other: Montgomery Academy students are recognized annually as National Merit Semifinalists and Finalists. Students have earned Advanced Placement Scholar Awards and have been recognized as AP Scholars, AP Scholars with Honor, AP Scholars with Distinction and as National Scholars. Open House: Join us for a Kindergarten Open House on January 29, 2026. RSVP online at montgomeryacademy.org/openhouse Our Kindergarten Preview, ""K-View"" allows families to experience a typical Kindergarten day. To schedule your K-View at a time that works for your family, visit www.montgomeryacademy.org/k-view. For our Grades 6-12 applicants, our shadow day experience pairs prospective applicants with a current student buddy for a day in the life at MA. Tours of both campuses are available at any time. Accreditation: The Montgomery Academy is a member of the National Association of Independent Schools (NAIS) and is jointly accredited by the COGNIA and the Southern Association of Independent Schools. The Academy is also a member of The College Board, Educational Records Bureau, School Scholarship Service, Southern Association for College Admission Counseling, the Association of Independent School Admission Professionals, National Association for College Admission Counseling, Cum Laude Society, and the National, Southern, and Alabama Associations of Independent Schools. Tuition: The tuition package at the Academy includes the enrollment deposit, admission to all home athletic events, a hot nutritious lunch, snacks in grades K-6, most extracurricular and athletic team fees, a yearbook and all technology fees. The Academy does not charge new family fees or building fees. Please visit our website www.montgomeryacademy.org or call the Admissions Office (334) 273-7155 for more information on tuition, TailorMAde Tuition, and our scholarship opportunities, including Renaissance Scholarship, the Hanson Luquire Memorial Scholarship, and the Pursuit of Excellence Scholarships."
,Independent,Alabama School of Math and Science,1255 Dauphin Street,Mobile,36604,(251) 441-2100,https://asms.net,admissions@asms.net,Dr. John Hoyle,9th - 12th,"Mission Statement: The Alabama School of Mathematics and Science's mission is to provide academically motivated Alabama students with exceptional preparation in the fields of math, science,computer science and the humanities, empowering them to improve their community, state, and nation.","Sports: Girls/boys basketball, Track and Field, tennis, soccer and girls volleyball and cheer. Arts:Choir and band. Over 35 clubs on campus (Key Club, Allies, Anime, Black Student Union, Environmental Science Club, Cooking Club, Future Business Leaders of America, Chess Team, Future Engineers' Club, Yearbook, German Club, Off the Leash, IGNITE, IMPACT, Lab of Learning, HOSA, Heroes of Health, Red Cross Club, Techalliance, Origami Club, Movie Club, Scholars Bowl, Weightlifting Club, Women of the World, Multicultural Student Union, Swing Dance Club, Ultimate Frisbee. Other: Debate team, Robotics team, Mathematics team, CyberPatriots Team, Science Olympiad & SGA.",,"Requirements: Application and Interview Application Deadline: Priority consideration if given to those applications submitted by February 15, 2024. Applications are accepted and processed through July. Accreditation through COGNIA Tuition, room and board are free."
,Independent,Autauga Academy,497 Golson Rd.,Prattville,36067,(334) 365-4343,https://autaugaacademy.com,generals@autaugaacademy.com,Headmaster: Jeremy Carter,K3 through 12th,"Our mission is to ensure a quality education for traditional students, provide a family environment that embodies Christian values, with small classes, a qualified faculty, and a fully accredited academic program, ensure post-secondary success by offering a general and college preparatory curriculum.","Sports: Football, basketball, track, cheerleading, baseball, soccer, golf, softball & volleyball Clubs: Beta, Science, Math, Yearbook, SGA, FCA, computer and School Newspaper.",Founded: 1969 Religious Affiliation: None Curriculum: College Prep,Testing Requirements: Entrance/admission exam Registration Deadline: Now accepting applications Accreditation: AISA and COGNIA (formerly known as AdvancED) Tuition: Please call for rates. Extended Care Fees: Call for additional information.
,Independent,Avalon Montessori,395 Ray Thorington Thorington Rd,Montgomery,36117,(334) 593-1462,https://avalonmontessorimgm.com,sonia@avalonmontessorimg.com,Director of School - Sonia Chaudhuri,6 weeks to 6 years old (Kindergarten/Montessori age-appropriate academic program),"Our Mission is to nurture creative, compassionate & confident children.",,,
,Independent,Edgewood Academy,"P.O. Box 160, 5475 Elmore Rd",Elmore,36025,(334) 567-5102,https://www.edgewoodacademy.org,,Headmaster: Susan Barner,K3-12th,"We provide students with a comprehensive college preparatory education in a safe and supportive environment, preparing students for a future of lifelong learning and productive citizenship..","Sports: Football, basketball, baseball, softball, volleyball, cheerleading, peewee cheerleading, Golf, track & field and Pee-Wee/Termite football. Clubs: National Honor Society, Spanish National Honor Society, SGA, FCA, Spanish, Youth in Government, Drama, Beta, Accounting Team, First Priority, and Math Team.","Curriculum: Offers 2 diplomas - standard, dual enrollment; including advanced placement courses.","Testing Requirement: Admissions test & evaluation of scholastic record Registration deadline: Applications accepted all year; testing begins January on a first-come, first-serve basis. Accreditation: AISA since 1974 and COGNIA (formerly known as AdvancED), NCPSA and CITA Tuition: Please visit our website or call the school for tuition rates."
,Independent,Hooper Academy,380 Fischer Rd.,Hope Hull,36043,(334) 288-5980,https://www.hooperacademy.org,,Headmaster: Darryl Free,K5 through 12th,"To provide a balanced and quality curriculum, which allows each student the opportunity to achieve full potential and maximize mental, physical, social, emotional, and spiritual growth. Students will be provided opportunities to develop self-confidence through knowledge, applied skills, and desirable character traits acquired in a sound academic environment.","Sports: Include football (grades 2nd-12th), volleyball, boys and girls basketball, baseball, track, softball, and cheerleading. Clubs: National Elementary Honor Society, National Junior Honor Society, National Honor Society, Science Club, Student Government Association, Spanish Club, Performing Arts, Yearbook/Journalism, and FCA","Founded: 1970 Religious Affiliation: Non –secular Curriculum: Advanced and standard diplomas, K5-6th - ABEKA","Registration Deadline: Based on availability. Accreditation: Southern Association of Colleges and Schools, Alabama Independent School Association, Alabama Association of Independent Schools Extended care program available. Licensed Day Care program available on campus. Tuition: K-12, Call for rates."
